SN,MeasurePoint,Type,DataObjectReference,MMS_Type,DataSetIndex,Description,Unit,Comment,ModelSim,
1,yc0,FLOAT32,CP01PIGO/GGIO501.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[0],,V,PCS1输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg2= |arg3= |arg4=1000,model=1|arg1=2.3|arg2=3.6|arg3=0.01|arg4=1000
2,yc1,FLOAT32,CP01PIGO/GGIO502.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[1],,,PCS2输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg2= |arg3= |arg4=1000,
57,yc56,FLOAT32,CP01PIGO/GGIO557.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[56],,,PCS57输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg57= |arg3= |arg4=1000,
58,yc57,FLOAT32,CP01PIGO/GGIO558.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[57],,,PCS58输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg58= |arg3= |arg4=1000,
59,yc58,FLOAT32,CP01PIGO/GGIO559.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[58],,,PCS59输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg59= |arg3= |arg4=1000,
60,yc59,FLOAT32,CP01PIGO/GGIO560.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[59],,,PCS60输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg60= |arg3= |arg4=1000,
61,yc60,FLOAT32,CP01PIGO/GGIO561.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[60],,,PCS61输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg61= |arg3= |arg4=1000,
62,yc61,FLOAT32,CP01PIGO/GGIO562.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[61],,,PCS62输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg62= |arg3= |arg4=1000,
63,yc62,FLOAT32,CP01PIGO/GGIO563.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[62],,,PCS63输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg63= |arg3= |arg4=1000,
64,yc63,FLOAT32,CP01PIGO/GGIO564.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[63],,,PCS64输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg64= |arg3= |arg4=1000,
65,yc64,FLOAT32,CP01PIGO/GGIO501.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[0],,,PCS1输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
66,yc65,FLOAT32,CP01PIGO/GGIO502.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[1],,,PCS2输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
67,yc66,FLOAT32,CP01PIGO/GGIO503.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[2],,,PCS3输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
68,yc67,FLOAT32,CP01PIGO/GGIO504.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[3],,,PCS4输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
69,yc68,FLOAT32,CP01PIGO/GGIO505.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[4],,,PCS5输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
70,yc69,FLOAT32,CP01PIGO/GGIO506.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[5],,,PCS6输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
71,yc70,FLOAT32,CP01PIGO/GGIO507.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[6],,,PCS7输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
72,yc71,FLOAT32,CP01PIGO/GGIO508.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[7],,,PCS8输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
73,yc72,FLOAT32,CP01PIGO/GGIO509.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[8],,,PCS9输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
74,yc73,FLOAT32,CP01PIGO/GGIO510.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[9],,,PCS10输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
75,yc74,FLOAT32,CP01PIGO/GGIO511.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[10],,,PCS11输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
76,yc75,FLOAT32,CP01PIGO/GGIO512.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[11],,,PCS12输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
77,yc76,FLOAT32,CP01PIGO/GGIO513.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[12],,,PCS13输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
78,yc77,FLOAT32,CP01PIGO/GGIO514.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[13],,,PCS14输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
79,yc78,FLOAT32,CP01PIGO/GGIO515.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[14],,,PCS15输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
80,yc79,FLOAT32,CP01PIGO/GGIO516.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[15],,,PCS16输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
81,yc80,FLOAT32,CP01PIGO/GGIO517.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[16],,,PCS17输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
82,yc81,FLOAT32,CP01PIGO/GGIO518.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[17],,,PCS18输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
83,yc82,FLOAT32,CP01PIGO/GGIO519.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[18],,,PCS19输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
84,yc83,FLOAT32,CP01PIGO/GGIO520.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[19],,,PCS20输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
85,yc84,FLOAT32,CP01PIGO/GGIO521.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[20],,,PCS21输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
86,yc85,FLOAT32,CP01PIGO/GGIO522.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[21],,,PCS22输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
87,yc86,FLOAT32,CP01PIGO/GGIO523.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[22],,,PCS23输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
88,yc87,FLOAT32,CP01PIGO/GGIO524.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[23],,,PCS24输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
89,yc88,FLOAT32,CP01PIGO/GGIO525.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[24],,,PCS25输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
90,yc89,FLOAT32,CP01PIGO/GGIO526.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[25],,,PCS26输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
91,yc90,FLOAT32,CP01PIGO/GGIO527.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[26],,,PCS27输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
92,yc91,FLOAT32,CP01PIGO/GGIO528.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[27],,,PCS28输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
93,yc92,FLOAT32,CP01PIGO/GGIO529.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[28],,,PCS29输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
94,yc93,FLOAT32,CP01PIGO/GGIO530.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[29],,,PCS30输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
95,yc94,FLOAT32,CP01PIGO/GGIO531.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[30],,,PCS31输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
96,yc95,FLOAT32,CP01PIGO/GGIO532.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[31],,,PCS32输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
97,yc96,FLOAT32,CP01PIGO/GGIO533.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[32],,,PCS33输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
98,yc97,FLOAT32,CP01PIGO/GGIO534.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[33],,,PCS34输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
99,yc98,FLOAT32,CP01PIGO/GGIO535.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[34],,,PCS35输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
100,yc99,FLOAT32,CP01PIGO/GGIO536.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[35],,,PCS36输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
101,yc100,FLOAT32,CP01PIGO/GGIO537.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[36],,,PCS37输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
102,yc101,FLOAT32,CP01PIGO/GGIO538.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[37],,,PCS38输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
103,yc102,FLOAT32,CP01PIGO/GGIO539.AnOut03.mag.f,MX,CP01PIGO/LLN0.dsGOOSE2[38],,,PCS39输出无功功率,model=4|arg1=emu.PcsList[0].ReactivePower|arg64= |arg3= |arg4=1000,
